,,,,,,,,,,,,,,,,,,,,,,,
,"NR. INREGISTRARE
",,,,,,,,,,,,,,,,,,,,,,
,,,,,"ROMÂNIA
Ministerul Educaţiei şi Cercetării
UNIVERSITATEA DE VEST DIN TIMIŞOARA
Vasile Pârvan nr. 4, 300223 - Timişoara
Tel: 0256 592 787/788 Fax: 0256-592.311
http://www.uvt.ro",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"Facultatea / Departamentul: FACULTATEA DE MATEMATICĂ ŞI INFORMATICĂ
Domeniul: Informatică
Programul de studii: Informatică
Forma de învăţământ: STUDII UNIVERSITARE DE LICENŢĂ - CU FRECVENŢĂ ",,,,,,,,,,,,,,,,,,,,,,
,FOAIE MATRICOLĂ PARŢIALĂ,,,,,,,,,,,,,,,,,,,,,,
,"Extras din Registrul matricol, volumul: IR, nr. 81, anul: 2024 nr. matricol: 
Notele obţinute în timpul şcolarităţii de: CNP: 
Data şi locul naşterii: ; Târgu Jiu, Jud. Gorj
Prenumele părinţilor: tata: mama: ",,,,,,,,,,,,,,,,,,,,,,
,SITUAŢIA ŞCOLARĂ PE ANI DE STUDIU,,,,,,,,,,,,,,,,,,,,,,
,,Anul I 2023-2024,,,,,,,,,,,,,,,,,,,,,
,,Nr. crt.,Disciplina de învăţământ,,,Total ore,,,,Nota,,Nr. credite,,,,Sem.,,,,,,,
,,,,,,C,S,LP,P,,,,,,,,,,,,,,
,,1,Algoritmi şi structuri de date I,,,28,28,0,0,10,,6,,,,I,,,,,,,
,,2,Programare I - Echivalata,,,28,0,28,0,10,,6,,,,I,,,,,,,
,,3,Logică computaţională - Echivalata,,,28,28,0,0,10,,6,,,,I,,,,,,,
,,4,Fundamente de matematica - Echivalata,,,28,28,0,0,7,,5,,,,I,,,,,,,
,,5,Arhitectura calculatoarelor - Echivalata,,,28,28,0,0,10,,5,,,,I,,,,,,,
,,6,Limba engleză I - Echivalata,,,14,14,0,0,5,,2,,,,I,,,,,,,
,,7,Educaţie fizică I - Echivalata*,,,0,0,28,0,P,,1,,,,I,,,,,,,
,,8,Consiliere profesională şi orientare în carieră*,,,0,14,0,0,P,,1,,,,I,,,,,,,
,,9,"Etică, integritate şi scriere academică*",,,14,14,0,0,8,,2,,,,I,,,,,,,
,,10,Algoritmi şi structuri de date II - Echivalata,,,28,0,28,0,10,,5,,,,II,,,,,,,
,,11,Limbaje formale şi teoria automatelor - Echivalata,,,28,28,0,0,10,,4,,,,II,,,,,,,
,,12,Calcul diferenţial şi integral - Echivalata,,,28,28,0,0,10,,4,,,,II,,,,,,,
,,13,Programare II - Echivalata,,,28,0,42,0,9,,6,,,,II,,,,,,,
,,14,Proiect de programare,,,0,0,14,0,-,,-,,,,II,,,,,,,
,,15,Metode şi practici în informatică - Echivalata,,,28,0,14,0,10,,3,,,,II,,,,,,,
,,16,Elemente de web design,,,14,0,28,0,-,,-,,,,II,,,,,,,
,,17,Limba engleză II - Echivalata,,,14,14,0,0,6,,2,,,,II,,,,,,,
,,18,Educaţie fizică II - Echivalata,,,0,0,28,0,P,,1,,,,II,,,,,,,
,,"PROMOVAT CU MEDIA PONDERATĂ: -
PROMOVAT CU MEDIA ARITMETICĂ: -",,,,,,,,,,,,,TOTAL CREDITE: 59.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
